IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"3.125.188.47","serviceanalytics-dev.dialog.roche.com","","serviceanalytics-dev.dialog.roche.com",""
"3.125.211.3","dev-cm.leap.roche.com","","dev-cm.leap.roche.com",""
"3.126.22.136","orders-emea-test1.roche.com","Magento Cloud","",""
"3.126.24.79","data-vault-automation.roche.com","","data-vault-automation.roche.com",""
"3.126.49.148","dev-cm.leap.roche.com","","dev-cm.leap.roche.com",""
"3.126.58.8","dev-website-datasources.cwp.roche.com","","dev-website-datasources.cwp.roche.com",""
"3.126.95.39","facade.tnt-aspiredev.roche.com","","facade.tnt-aspiredev.roche.com",""
"3.126.135.214","intradoreleases-develop.cwp.roche.com","","intradoreleases-develop.cwp.roche.com",""
"3.126.158.212","codeocean.kamino-dev.roche.com","","codeocean.kamino-dev.roche.com|analytics.codeocean.kamino-dev.roche.com|registry.codeocean.kamino-dev.roche.com",""
"3.126.173.102","ssd6.diafr.roche.com","","ssd6.diafr.roche.com",""
"3.126.196.101","serviceanalytics-testspt.dialog.roche.com","","serviceanalytics-testspt.dialog.roche.com",""
"3.126.196.145","content-migration-dev.dpmsys.roche.com","","content-migration-dev.dpmsys.roche.com",""
"3.126.204.11","nucleus-test.roche.com","Roche","nucleus-test.roche.com",""
"3.126.215.45","portal.apis.roche.com","","apis.roche.com|portal.apis.roche.com",""
"3.127.120.4","orders-emea.roche.com","Magento Cloud","",""
"3.127.157.231","api-home.roche.net","","api-home.roche.net|api-home.roche.com",""
"3.127.163.55","nucleus-test.roche.com","Roche","nucleus-test.roche.com",""
"3.127.163.64","orders-apac.roche.com","Magento Cloud","",""
"3.127.226.129","orders-emea-test1.roche.com","Magento Cloud","",""
"3.127.246.211","orders-graprime-test1.roche.com","Magento Cloud","",""
"35.80.179.191","cmg-oasis-qa-analyticshub.roche.com","","cmg-oasis-qa-analyticshub.roche.com",""
"35.81.129.142","*.dev.adp.galileo.roche.com","","*.dev.adp.galileo.roche.com|*.adp.dev.adp.galileo.roche.com",""
"35.82.93.80","*.dev.adp.galileo.roche.com","","*.dev.adp.galileo.roche.com|*.adp.dev.adp.galileo.roche.com",""
"35.83.11.10","cmg-oasis-apsweb.roche.com","","cmg-oasis-apsweb.roche.com",""
"35.83.150.123","cmg-oasis-uat-analyticshub.roche.com","","cmg-oasis-uat-analyticshub.roche.com",""
"35.83.158.71","cmg-oasis-uat-analyticshub.roche.com","","cmg-oasis-uat-analyticshub.roche.com",""
"54.80.109.41","lclm-tst.roche.com","","lclm-tst.roche.com|lclm-dev.roche.com",""
"34.239.208.95","nala.leap.roche.com","","nala.leap.roche.com",""
"52.202.245.195","api.staging.seqqc.roche.com","","api.staging.seqqc.roche.com",""
"18.142.128.12","demo-apac.leap.roche.com","","demo-apac.leap.roche.com|www.demo-apac.leap.roche.com",""
"34.226.69.22","lclm-tst.roche.com","","lclm-tst.roche.com|lclm-dev.roche.com",""
"34.226.103.112","lclm.roche.com","","lclm.roche.com|lclm-dev.roche.com|lclm-tst.roche.com",""
"54.254.30.215","mcprod.orders-apac.roche.com","Magento Cloud","",""
"54.254.224.221","tst-apac.leap.roche.com","","tst-apac.leap.roche.com",""
"52.81.3.241","sol-aws-cn-dev-03.asia.roche.com","","mr-k4of66tqiz8.messaging.solace.cloud|sol-aws-cn-dev-03.asia.roche.com,|sol-aws-cn-dev-03.roche.com.cn|sol-aws-cn-dev-03.asia.roche.com",""
"52.81.142.251","*.taichi.roche.com","Roche (China) Holding Ltd","*.taichi.roche.com",""
"52.81.153.90","*.roche.com.cn","Roche (China) Holding Ltd","",""
"52.81.173.69","sol-aws-cn-dev-05.asia.roche.com","","sol-aws-cn-dev-05.asia.roche.com|sol-aws-cn-dev-05.roche.com.cn|mr-czvosg7d5be.messaging.solace.cloud",""
"52.81.175.75","sol-aws-cn-dev-01.asia.roche.com","","mr-9d4fg1820h7.messaging.solace.cloud|sol-aws-cn-dev-01.asia.roche.com|sol-aws-cn-dev-01.roche.com.cn",""
"44.239.127.6","cmg-oasis-dev-apsweb.roche.com","","cmg-oasis-dev-apsweb.roche.com",""
"44.240.227.243","*.dev.adp.galileo.roche.com","","*.dev.adp.galileo.roche.com|*.adp.dev.adp.galileo.roche.com",""
"44.241.14.78","inest.datatracker.roche.com","","inest.datatracker.roche.com",""
"44.241.65.98","cmg-oasis-apsweb.roche.com","","cmg-oasis-apsweb.roche.com",""
"54.209.30.226","api.staging.seqqc.roche.com","","api.staging.seqqc.roche.com",""
"52.36.78.122","cmg-oasis-qa-apsweb.roche.com","","cmg-oasis-qa-apsweb.roche.com",""
"52.37.237.70","cmg-oasis-dev-talk2data.roche.com","","cmg-oasis-dev-talk2data.roche.com",""
"3.68.122.118","orders-graprime-test2.roche.com","Magento Cloud","",""
"3.69.91.160","orders-graprime-test1.roche.com","Magento Cloud","",""
"3.69.131.165","ws.mobileverification.roche.com","Roche","ws.mobileverification.roche.com|ws-mobileverification.roche.com",""
"3.69.153.244","orders-graprime.roche.com","Magento Cloud","",""
"3.69.157.100","drtest-emea.leap.roche.com","","drtest-emea.leap.roche.com",""
"3.69.222.224","orders-graprime.roche.com","Magento Cloud","",""
"3.69.236.61","data-vault-automation-staging.roche.com","","data-vault-automation-staging.roche.com",""
