IP Address,Common Name
35.71.147.80:443,onecustomer-dev.roche.com|api.onecustomer-dev.roche.com|api.onecustomer-test.roche.com|onecustomer-test.roche.com|www.api.onecustomer-dev.roche.com|www.api.onecustomer-test.roche.com|www.onecustomer-dev.roche.com|www.onecustomer-test.roche.com
35.71.154.109:443,onecustomer-staging.roche.com|api.onecustomer-staging.roche.com|*.onecustomer-staging.roche.com|www.api.onecustomer-staging.roche.com|www.onecustomer-staging.roche.com
35.71.190.88:443,onecustomer-dev.roche.com|api.onecustomer-dev.roche.com|api.onecustomer-test.roche.com|onecustomer-test.roche.com|www.api.onecustomer-dev.roche.com|www.api.onecustomer-test.roche.com|www.onecustomer-dev.roche.com|www.onecustomer-test.roche.com
35.71.189.127:443,onecustomer-dev.roche.com|api.onecustomer-dev.roche.com|api.onecustomer-test.roche.com|onecustomer-test.roche.com|www.api.onecustomer-dev.roche.com|www.api.onecustomer-test.roche.com|www.onecustomer-dev.roche.com|www.onecustomer-test.roche.com
52.68.9.128:443,*.roche.com
52.69.110.80:443,*.roche.com
52.192.75.49:443,*.roche.com
52.192.192.130:443,twbbc.roche.com|www.twbbc.roche.com
52.193.34.40:443,*.roche.com
52.193.97.0:443,*.roche.com
52.193.219.53:443,remoteservice-gas16.roche.com
52.193.250.39:443,*.roche.com
52.195.34.154:443,*.roche.com
52.196.156.175:443,*.roche.com
52.198.31.22:443,*.roche.com
52.198.136.71:443,*.roche.com
52.200.206.36:443,*.roche.com
52.203.2.168:443,*.roche.com
52.207.1.146:443,*.roche.com
52.210.16.136:443,rome-dev.roche.com|dpa-rome-dev.roche.com
52.210.36.130:443,rome-uat.roche.com|dpa-rome-stg.roche.com
52.210.131.188:443,dpa-stg.roche.com
52.223.17.180:443,onecustomer-dev.roche.com|api.onecustomer-dev.roche.com|api.onecustomer-test.roche.com|onecustomer-test.roche.com|www.api.onecustomer-dev.roche.com|www.api.onecustomer-test.roche.com|www.onecustomer-dev.roche.com|www.onecustomer-test.roche.com
52.223.32.143:443,onecustomer-dev.roche.com|api.onecustomer-dev.roche.com|api.onecustomer-test.roche.com|onecustomer-test.roche.com|www.api.onecustomer-dev.roche.com|www.api.onecustomer-test.roche.com|www.onecustomer-dev.roche.com|www.onecustomer-test.roche.com
52.223.44.168:443,onecustomer-dev.roche.com|api.onecustomer-dev.roche.com|api.onecustomer-test.roche.com|onecustomer-test.roche.com|www.api.onecustomer-dev.roche.com|www.api.onecustomer-test.roche.com|www.onecustomer-dev.roche.com|www.onecustomer-test.roche.com
52.223.61.155:443,onecustomer-staging.roche.com|api.onecustomer-staging.roche.com|*.onecustomer-staging.roche.com|www.api.onecustomer-staging.roche.com|www.onecustomer-staging.roche.com
54.81.158.166:443,metis.roche.com|www.metis.roche.com
54.85.227.34:443,*.roche.com
54.92.191.103:443,*.roche.com
75.2.54.145:443,onecustomer.roche.com|api.onecustomer.roche.com|www.api.onecustomer.roche.com
75.2.63.136:443,onecustomer.roche.com|api.onecustomer.roche.com|www.api.onecustomer.roche.com
75.2.68.136:443,onecustomer-staging.roche.com|api.onecustomer-staging.roche.com|*.onecustomer-staging.roche.com|www.api.onecustomer-staging.roche.com|www.onecustomer-staging.roche.com
75.2.120.136:443,onecustomer.roche.com|api.onecustomer.roche.com|www.api.onecustomer.roche.com
76.223.35.105:443,onecustomer-staging.roche.com|api.onecustomer-staging.roche.com|*.onecustomer-staging.roche.com|www.api.onecustomer-staging.roche.com|www.onecustomer-staging.roche.com
76.223.50.79:443,onecustomer-staging.roche.com|api.onecustomer-staging.roche.com|*.onecustomer-staging.roche.com|www.api.onecustomer-staging.roche.com|www.onecustomer-staging.roche.com
